# 放一些总是被检测工具识别为不可播放其实可播放的源
cdn6,#genre#
CCTV12,http://113.118.133.195:9999/rtp/239.77.1.109:5146
CCTV13,http://113.118.133.195:9999/rtp/239.77.0.42:5146
CCTV13,http://113.118.133.195:9999/rtp/239.77.0.188:5146
CCTV13,http://113.118.133.195:9999/rtp/239.253.43.196:5146
CCTV14,http://113.118.133.195:9999/rtp/239.77.0.43:5146
CCTV14,http://113.118.133.195:9999/rtp/239.77.0.133:5146
CCTV14,http://113.118.133.195:9999/rtp/239.77.1.161:5146
CCTV15,http://113.118.133.195:9999/rtp/239.77.1.120:5146
CCTV15,http://113.118.133.195:9999/rtp/239.77.1.239:5146
CCTV15,http://113.118.133.195:9999/rtp/239.77.0.44:5146
CCTV17,http://113.118.133.195:9999/rtp/239.77.0.115:5146
CCTV17,http://113.118.133.195:9999/rtp/239.77.0.198:5146
CCTV17,http://113.118.133.195:9999/rtp/239.77.1.121:5146
CCTV4K,http://113.118.133.195:9999/rtp/239.77.0.194:5146
CCTV4K,http://113.118.133.195:9999/rtp/239.77.1.180:5146
CETV1,http://113.118.133.195:9999/rtp/239.77.0.200:5146
CETV1,http://113.118.133.195:9999/rtp/239.77.1.222:5146
CETV2,http://113.118.133.195:9999/rtp/239.77.0.28:5146
CETV2,http://113.118.133.195:9999/rtp/239.77.1.69:5146
CETV4,http://113.118.133.195:9999/rtp/239.253.43.40:5146
CETV4,http://113.118.133.195:9999/rtp/239.253.43.114:5146
CETV早期教育,http://113.118.133.195:9999/rtp/239.77.0.180:5146
CETV早期教育,http://113.118.133.195:9999/rtp/239.77.1.114:5146
CETV早期教育,http://113.118.133.195:9999/rtp/239.77.1.122:5146
CGTN,http://113.118.133.195:9999/rtp/239.77.0.45:5146
CGTN,http://113.118.133.195:9999/rtp/239.77.1.27:5146
CGTN,http://113.118.133.195:9999/rtp/239.77.0.199:5146
CGTN纪录,http://113.118.133.195:9999/rtp/239.253.43.122:5146
CGTN阿语,http://113.118.133.195:9999/rtp/239.253.43.200:5146
CGTN俄语,http://113.118.133.195:9999/rtp/239.253.43.201:5146
CGTN西语,http://113.118.133.195:9999/rtp/239.77.0.221:5146
CGTN法语,http://113.118.133.195:9999/rtp/239.77.0.228:5146
第一剧场,http://113.118.133.195:9999/rtp/239.253.43.15:5146
第一剧场,http://113.118.133.195:9999/rtp/239.253.43.28:5146
风云剧场,http://113.118.133.195:9999/rtp/239.253.43.16:5146
风云剧场,http://113.118.133.195:9999/rtp/239.253.43.26:5146
风云足球,http://113.118.133.195:9999/rtp/239.253.43.14:5146
风云足球,http://113.118.133.195:9999/rtp/239.253.43.20:5146
风云音乐,http://113.118.133.195:9999/rtp/239.253.43.6:5146
风云音乐,http://113.118.133.195:9999/rtp/239.253.43.29:5146
世界地理,http://113.118.133.195:9999/rtp/239.253.43.7:5146
世界地理,http://113.118.133.195:9999/rtp/239.253.43.24:5146
电视指南,http://113.118.133.195:9999/rtp/239.253.43.10:5146
电视指南,http://113.118.133.195:9999/rtp/239.253.43.19:5146
怀旧剧场,http://113.118.133.195:9999/rtp/239.253.43.5:5146
怀旧剧场,http://113.118.133.195:9999/rtp/239.253.43.25:5146
兵器科技,http://113.118.133.195:9999/rtp/239.253.43.9:5146
兵器科技,http://113.118.133.195:9999/rtp/239.253.43.18:5146
女性时尚,http://113.118.133.195:9999/rtp/239.253.43.8:5146
女性时尚,http://113.118.133.195:9999/rtp/239.253.43.23:5146
高尔夫网球,http://113.118.133.195:9999/rtp/239.253.43.12:5146
高尔夫网球,http://113.118.133.195:9999/rtp/239.253.43.22:5146
央视台球,http://113.118.133.195:9999/rtp/239.253.43.11:5146
央视台球,http://113.118.133.195:9999/rtp/239.253.43.21:5146
央视文化精品,http://113.118.133.195:9999/rtp/239.253.43.13:5146
央视文化精品,http://113.118.133.195:9999/rtp/239.253.43.27:5146
天元围棋,http://113.118.133.195:9999/rtp/239.253.43.98:5146
中学生,http://113.118.133.195:9999/rtp/239.77.1.195:5146
卫生健康,http://113.118.133.195:9999/rtp/239.77.0.212:5146
茶频道,http://113.118.133.195:9999/rtp/239.77.0.15:5146
书法频道,http://113.118.133.195:9999/rtp/239.77.1.115:5146
金鹰纪实,http://113.118.133.195:9999/rtp/239.77.0.160:5146
金鹰纪实,http://113.118.133.195:9999/rtp/239.77.1.217:5146
发现之旅,http://113.118.133.195:9999/rtp/239.77.1.112:5146
发现之旅,http://113.118.133.195:9999/rtp/239.253.43.127:5146
环球奇观,http://113.118.133.195:9999/rtp/239.77.1.198:5146
环球奇观,http://113.118.133.195:9999/rtp/239.253.43.126:5146
国学频道,http://113.118.133.195:9999/rtp/239.77.0.226:5146
国学频道,http://113.118.133.195:9999/rtp/239.77.1.105:5146
无信号,http://113.118.133.195:9999/rtp/239.77.0.236:5146
无信号,http://113.118.133.195:9999/rtp/239.77.1.139:5146
无信号,http://113.118.133.195:9999/rtp/239.253.43.165:5146
老故事,http://113.118.133.195:9999/rtp/239.77.0.220:5146
老故事,http://113.118.133.195:9999/rtp/239.77.1.197:5146
快乐垂钓,http://113.118.133.195:9999/rtp/239.77.0.145:5146
中国天气,http://113.118.133.195:9999/rtp/239.77.1.2:5146
CCTV4K,http://113.118.133.195:9999/rtp/239.77.0.194:5146
CCTV4K,http://113.118.133.195:9999/rtp/239.77.1.180:5146
CCTV16 4K,http://113.118.133.195:9999/rtp/239.77.0.165:5146
北京卫视4K,http://113.118.133.195:9999/rtp/239.77.0.2:5146
北京卫视4K,http://113.118.133.195:9999/rtp/239.77.0.3:5146
北京卫视4K,http://113.118.133.195:9999/rtp/239.77.0.153:5146
北京卫视4K,http://113.118.133.195:9999/rtp/239.77.0.233:5146
北京卫视4K,http://113.118.133.195:9999/rtp/239.77.1.13:5146
东方卫视4K,http://113.118.133.195:9999/rtp/239.77.0.59:5146
广东卫视4K,http://113.118.133.195:9999/rtp/239.77.0.27:5146
广东卫视4K,http://113.118.133.195:9999/rtp/239.77.0.65:5146
广东卫视4K,http://113.118.133.195:9999/rtp/239.77.0.66:5146
深圳卫视4K,http://113.118.133.195:9999/rtp/239.77.0.67:5146
深圳卫视4K,http://113.118.133.195:9999/rtp/239.77.1.14:5146
湖南卫视4K,http://113.118.133.195:9999/rtp/239.77.0.56:5146
山东卫视4K,http://113.118.133.195:9999/rtp/239.77.0.61:5146
四川卫视4K,http://113.118.133.195:9999/rtp/239.77.0.60:5146
浙江卫视4K,http://113.118.133.195:9999/rtp/239.77.0.58:5146
江苏卫视4K,http://113.118.133.195:9999/rtp/239.77.0.57:5146
广东综艺4K,http://113.118.133.195:9999/rtp/239.77.0.244:5146
广东综艺4K,http://113.118.133.195:9999/rtp/239.77.0.245:5146
广东综艺4K,http://113.118.133.195:9999/rtp/239.77.1.237:5146
南国都市4K,http://113.118.133.195:9999/rtp/239.253.43.99:5146
重庆卫视,http://113.118.133.195:9999/rtp/239.77.0.182:5146
重庆卫视,http://113.118.133.195:9999/rtp/239.77.1.162:5146
江苏卫视,http://113.118.133.195:9999/rtp/239.77.0.90:5146
江苏卫视,http://113.118.133.195:9999/rtp/239.77.1.18:5146
浙江卫视,http://113.118.133.195:9999/rtp/239.77.0.89:5146
浙江卫视,http://113.118.133.195:9999/rtp/239.77.1.33:5146
东方卫视,http://113.118.133.195:9999/rtp/239.77.0.98:5146
东方卫视,http://113.118.133.195:9999/rtp/239.77.1.218:5146
深圳卫视,http://113.118.133.195:9999/rtp/239.77.0.92:5146
深圳卫视,http://113.118.133.195:9999/rtp/239.77.0.130:5146
深圳卫视,http://113.118.133.195:9999/rtp/239.77.1.3:5146
深圳卫视,http://113.118.133.195:9999/rtp/239.77.1.107:5146
深圳卫视,http://113.118.133.195:9999/rtp/239.77.1.148:5146
北京卫视,http://113.118.133.195:9999/rtp/239.77.0.91:5146
北京卫视,http://113.118.133.195:9999/rtp/239.77.0.232:5146
北京卫视,http://113.118.133.195:9999/rtp/239.77.1.4:5146
北京卫视,http://113.118.133.195:9999/rtp/239.77.1.151:5146
山东卫视,http://113.118.133.195:9999/rtp/239.77.0.94:5146
山东卫视,http://113.118.133.195:9999/rtp/239.77.1.142:5146
天津卫视,http://113.118.133.195:9999/rtp/239.77.0.97:5146
天津卫视,http://113.118.133.195:9999/rtp/239.77.0.131:5146
天津卫视,http://113.118.133.195:9999/rtp/239.77.1.141:5146
天津卫视,http://113.118.133.195:9999/rtp/239.77.1.182:5146
贵州卫视,http://113.118.133.195:9999/rtp/239.77.0.230:5146
贵州卫视,http://113.118.133.195:9999/rtp/239.77.1.221:5146
四川卫视,http://113.118.133.195:9999/rtp/239.77.0.159:5146
四川卫视,http://113.118.133.195:9999/rtp/239.77.1.215:5146
云南卫视,http://113.118.133.195:9999/rtp/239.253.43.37:5146
云南卫视,http://113.118.133.195:9999/rtp/239.253.43.100:5146
广西卫视,http://113.118.133.195:9999/rtp/239.77.0.139:5146
广西卫视,http://113.118.133.195:9999/rtp/239.253.43.36:5146
黑龙江卫视,http://113.118.133.195:9999/rtp/239.77.0.93:5146
黑龙江卫视,http://113.118.133.195:9999/rtp/239.77.0.124:5146
黑龙江卫视,http://113.118.133.195:9999/rtp/239.77.1.6:5146
黑龙江卫视,http://113.118.133.195:9999/rtp/239.77.1.179:5146
安徽卫视,http://113.118.133.195:9999/rtp/239.77.0.183:5146
安徽卫视,http://113.118.133.195:9999/rtp/239.77.1.92:5146
山西卫视,http://113.118.133.195:9999/rtp/239.77.0.69:5146
山西卫视,http://113.118.133.195:9999/rtp/239.77.1.74:5146
江西卫视,http://113.118.133.195:9999/rtp/239.77.0.149:5146
江西卫视,http://113.118.133.195:9999/rtp/239.77.1.219:5146
湖北卫视,http://113.118.133.195:9999/rtp/239.77.0.95:5146
湖北卫视,http://113.118.133.195:9999/rtp/239.77.0.128:5146
湖北卫视,http://113.118.133.195:9999/rtp/239.77.1.93:5146
湖北卫视,http://113.118.133.195:9999/rtp/239.77.1.174:5146
陕西卫视,http://113.118.133.195:9999/rtp/239.77.0.68:5146
陕西卫视,http://113.118.133.195:9999/rtp/239.77.1.54:5146
东南卫视,http://113.118.133.195:9999/rtp/239.77.0.146:5146
东南卫视,http://113.118.133.195:9999/rtp/239.77.1.104:5146
厦门卫视,http://113.118.133.195:9999/rtp/239.77.0.96:5146
