海南省三亚市吉阳区组播海南电信|节目数量209,#genre#
北京卫视SD,http://223.198.231.59:885/udp/239.253.64.24:5140
山东卫视SD,http://223.198.231.59:885/udp/239.253.64.30:5140
天津卫视SD,http://223.198.231.59:885/udp/239.253.64.40:5140
贵州卫视SD,http://223.198.231.59:885/udp/239.253.64.47:5140
黑龙江卫视SD,http://223.198.231.59:885/udp/239.253.64.42:5140
安徽卫视SD,http://223.198.231.59:885/udp/239.253.64.29:5140
江西卫视SD,http://223.198.231.59:885/udp/239.253.64.34:5140
湖北卫视SD,http://223.198.231.59:885/udp/239.253.64.33:5140
海南卫视SD,http://223.198.231.59:885/udp/239.253.64.5:5140
东南卫视SD,http://223.198.231.59:885/udp/239.253.64.43:5140
吉林卫视SD,http://223.198.231.59:885/udp/239.253.64.142:5140
辽宁卫视SD,http://223.198.231.59:885/udp/239.253.64.41:5140
湖南卫视SD,http://223.198.231.59:885/udp/239.253.64.32:5140
广东卫视SD,http://223.198.231.59:885/udp/239.253.64.44:5140
河南卫视SD,http://223.198.231.59:885/udp/239.253.64.38:5140
河北卫视SD,http://223.198.231.59:885/udp/239.253.64.39:5140
宁夏卫视SD,http://223.198.231.59:885/udp/239.253.64.89:5140
甘肃卫视SD,http://223.198.231.59:885/udp/239.253.64.140:5140
新疆卫视SD,http://223.198.231.59:885/udp/239.253.64.146:5140
西藏卫视SD,http://223.198.231.59:885/udp/239.253.64.143:5140
兵团卫视SD,http://223.198.231.59:885/udp/239.253.64.178:5140
三沙卫视SD,http://223.198.231.59:885/udp/239.253.64.113:5140
海南自贸SD,http://223.198.231.59:885/udp/239.253.64.1:5140
海南新闻SD,http://223.198.231.59:885/udp/239.253.64.11:5140
海南社会与法SD,http://223.198.231.59:885/udp/239.253.64.2:5140
海南文旅SD,http://223.198.231.59:885/udp/239.253.64.3:5140
海南少儿SD,http://223.198.231.59:885/udp/239.253.64.4:5140

113.118.133.195:9999龙华电信组播源,#genre#
CCTV1,http://113.118.133.195:9999/rtp/239.77.0.14:5146
CCTV1,http://113.118.133.195:9999/rtp/239.77.0.30:5146
CCTV1,http://113.118.133.195:9999/rtp/239.77.0.86:5146
CCTV1,http://113.118.133.195:9999/rtp/239.77.0.119:5146
